date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,var2,low_sub,sam1,sam2,SMA1,SMA2,var3,var4,var5,var6,close_ma58,var7,arg8,ema8,var8
2020-08-03,sz.002057,7.8,8.56,7.8,8.56,7.78,45722693,375504252.33,3,8.188,1,10.0257,0,,,,,,,,,,,,1,0.0,0.0,0.0
2020-08-04,sz.002057,9.0,9.0,8.22,8.29,8.56,66620740,565650623.08,3,11.9305,1,-3.1542,0,7.8,0.4200000000000008,0.4200000000000008,0.4200000000000008,,,,,,,,1,0.0,0.0,0.0
2020-08-05,sz.002057,8.2,9.0,8.2,8.69,8.29,66751313,572728631.44,3,11.9538,1,4.8251,0,8.22,-0.02000000000000135,0.02000000000000135,0.0,,,,,,,,1,0.0,0.0,0.0
2020-08-06,sz.002057,8.56,8.98,8.51,8.69,8.69,57526867,502836089.94,3,10.3019,1,0.0,0,8.2,0.3100000000000005,0.3100000000000005,0.3100000000000005,0.2500000000000009,0.24333333333333376,102.73972602739745,1027.3972602739746,,,,1,0.0,0.0,0.0
2020-08-07,sz.002057,8.6,9.18,8.33,9.05,8.69,72468603,640505061.72,3,12.9777,1,4.1427,0,8.51,-0.17999999999999972,0.17999999999999972,0.0,0.1700000000000005,0.1033333333333335,164.5161290322583,1439.239946973047,,,,1,0.0,0.0,0.0
2020-08-10,sz.002057,8.93,9.46,8.86,8.95,9.05,63308000,579975763.31,3,11.3372,1,-1.105,0,8.33,0.5299999999999994,0.5299999999999994,0.5299999999999994,0.33999999999999986,0.27999999999999997,121.4285714285714,1310.6946711517137,,,,1,0.0,0.0,0.0
2020-08-11,sz.002057,8.86,9.19,8.74,8.75,8.95,49998851,450592533.06,3,8.9538,1,-2.2346,0,8.86,-0.11999999999999922,0.11999999999999922,0.0,0.2766666666666661,0.17666666666666644,156.60377358490553,1446.8776389902957,,,,1,0.0,0.0,0.0
2020-08-12,sz.002057,8.62,8.7,8.29,8.5,8.75,38236149,323778922.76,3,6.8473,1,-2.8571,0,8.74,-0.45000000000000107,0.45000000000000107,0.0,0.36666666666666653,0.17666666666666644,207.54716981132094,1771.313282408574,,,,1,0.0,0.0,0.0
2020-08-13,sz.002057,8.48,8.56,8.37,8.4,8.5,22106292,187352990.22,3,3.9588,1,-1.1765,0,8.29,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.21666666666666679,0.02666666666666669,812.4999999999998,4998.582726264535,,,,1,0.0,0.0,0.0
2020-08-14,sz.002057,8.39,8.56,8.32,8.46,8.4,19166570,162144136.8,3,3.4324,1,0.7143,0,8.37,-0.049999999999998934,0.049999999999998934,0.0,0.19333333333333336,0.02666666666666669,724.9999999999994,6133.155210666657,,,,1,0.0,0.0,0.0
2020-08-17,sz.002057,8.45,8.65,8.38,8.6,8.46,24294202,207010139.71,3,4.3506,1,1.6548,0,8.32,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.06333333333333317,0.046666666666666856,135.7142857142848,3735.784303799804,,,,1,0.0,0.0,0.0
2020-08-18,sz.002057,8.62,8.63,8.39,8.45,8.6,24049534,204198068.96,3,4.3068,1,-1.7442,0,8.38,0.009999999999999787,0.009999999999999787,0.009999999999999787,0.03999999999999974,0.023333333333333428,171.4285714285696,2723.0570260784507,,,,1,0.0,0.0,0.0
2020-08-19,sz.002057,8.47,8.63,8.37,8.38,8.45,23135829,196855873.84,3,4.1432,1,-0.8284,0,8.39,-0.02000000000000135,0.02000000000000135,0.0,0.030000000000000544,0.023333333333333428,128.57142857143037,2003.6831423380368,,,,1,0.0,0.0,0.0
2020-08-20,sz.002057,8.33,8.34,7.96,7.99,8.38,26380254,213456933.45,3,4.7242,1,-4.6539,0,8.37,-0.40999999999999925,0.40999999999999925,0.0,0.1466666666666668,0.0033333333333332624,4400.000000000098,23012.099587011635,,,,1,0.0,0.0,0.0
2020-08-21,sz.002057,7.99,8.07,7.9,7.99,7.99,12758975,101947191.5,3,2.2849,1,0.0,0,7.96,-0.05999999999999961,0.05999999999999961,0.0,0.1633333333333334,0.0,inf,23012.099587011635,,,,1,0.0,0.0,0.0
